taxon	rank	trait_id	trait_name	mean_value	unit	sd	n	origin
Ranunculaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	2849.141409	mm^2	3701.332487	390	global mean
Ranunculaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	24.36193776	mg/g	9.524449194	399	global mean
Ranunculaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	26.09805219	mm^2/mg	12.11384061	684	global mean
Ranunculaceae	family	3106	Plant height vegetative	0.593269928	m	2.302687146	1327	global mean
Ranunculaceae	family	26	Seed dry mass	15.08290189	mg	353.3964727	931	global mean
Ranunculaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.146057565	g/cm^3	0.140166187	21	global mean
Polygonaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	5309.498082	mm^2	11626.29431	454	global mean
Polygonaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	28.09456891	mg/g	9.190982904	927	global mean
Polygonaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	25.78099962	mm^2/mg	17.67919008	652	global mean
Polygonaceae	family	3106	Plant height vegetative	1.128964977	m	2.695179605	1049	global mean
Polygonaceae	family	26	Seed dry mass	11.26330829	mg	58.31461222	818	global mean
Polygonaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.457794757	g/cm^3	0.224396382	112	global mean
Saxifragaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	2316.480671	mm^2	1270.888739	76	global mean
Saxifragaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	17.20781843	mg/g	8.272778256	64	global mean
Saxifragaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	19.64433599	mm^2/mg	7.076636353	97	global mean
Saxifragaceae	family	3106	Plant height vegetative	0.131334943	m	0.142818408	352	global mean
Saxifragaceae	family	26	Seed dry mass	0.074490937	mg	0.11023959	221	global mean
Saxifragaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Cupressaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	19.88145383	mm^2	9.503908602	28	global mean
Cupressaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	11.87051109	mg/g	4.435414172	314	global mean
Cupressaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	6.487286969	mm^2/mg	6.083636754	64	global mean
Cupressaceae	family	3106	Plant height vegetative	20.34094139	m	20.21959926	923	global mean
Cupressaceae	family	26	Seed dry mass	23.67996764	mg	45.4325523	427	global mean
Cupressaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.475544304	g/cm^3	0.138546635	314	global mean
Ophioglossaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	257.872	mm^2	NA	1	global mean
Ophioglossaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	32.78395994	mg/g	NA	1	global mean
Ophioglossaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	17.19660465	mm^2/mg	0.549276146	2	global mean
Ophioglossaceae	family	3106	Plant height vegetative	0.151034717	m	0.131361729	53	global mean
Ophioglossaceae	family	26	Seed dry mass	NA	mg	NA	0	global mean
Ophioglossaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	NA	g/cm^3	NA	0	global mean
Apiaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	3669.457768	mm^2	14092.13633	585	global mean
Apiaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	25.44548703	mg/g	9.141892255	400	global mean
Apiaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	21.02273566	mm^2/mg	12.46809915	996	global mean
Apiaceae	family	3106	Plant height vegetative	0.526575799	m	0.49847828	1717	global mean
Apiaceae	family	26	Seed dry mass	11.29118612	mg	115.0491278	1372	global mean
Apiaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.112124681	g/cm^3	0.163152306	43	global mean
Caryophyllaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	289.322828	mm^2	446.4623482	349	global mean
Caryophyllaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	24.99357232	mg/g	11.46920349	242	global mean
Caryophyllaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	26.44944073	mm^2/mg	23.69015427	739	global mean
Caryophyllaceae	family	3106	Plant height vegetative	0.214652144	m	0.203403108	1765	global mean
Caryophyllaceae	family	26	Seed dry mass	0.888753875	mg	2.122675782	1349	global mean
Caryophyllaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.107820132	g/cm^3	0.143201074	15	global mean
Plantaginaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	968.6154835	mm^2	1535.557875	569	global mean
Plantaginaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	20.79368157	mg/g	8.429515729	597	global mean
Plantaginaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	21.53875974	mm^2/mg	17.22209989	967	global mean
Plantaginaceae	family	3106	Plant height vegetative	0.261480386	m	0.24161332	1592	global mean
Plantaginaceae	family	26	Seed dry mass	0.766819263	mg	1.870130245	1254	global mean
Plantaginaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.177265327	g/cm^3	0.147199532	39	global mean
Amaranthaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	109.8973854	mm^2	193.9706717	95	global mean
Amaranthaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	24.56044554	mg/g	9.870392183	1253	global mean
Amaranthaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	14.04761026	mm^2/mg	15.29157671	465	global mean
Amaranthaceae	family	3106	Plant height vegetative	0.531122844	m	0.818585734	1375	global mean
Amaranthaceae	family	26	Seed dry mass	5.866039591	mg	46.8499006	1223	global mean
Amaranthaceae	family	4	Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)	0.331157781	g/cm^3	0.34778068	22	global mean
Equisetaceae	family	3110	"Leaf area (in case of compound leaves: leaf, petiole included)"	1055.098092	mm^2	1157.023322	76	global mean
Equisetaceae	family	14	Leaf nitrogen (N) content per leaf dry mass	15.73866144	mg/g	6.958952249	67	global mean
Equisetaceae	family	3116	"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included"	8.368157044	mm^2/mg	5.910031897	106	global mean
Equisetaceae	family	3106	Plant height vegetative	0.841762286	m	1.75957722	105	global mean
