timeline_id,bin_early,bin_late,morphotype
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6500,6000,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6500,6000,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6500,6000,Gymnocarpium dryopt.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6500,6000,Juniperus communis
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6500,6000,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6500,6000,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6500,6000,Salix herbacaea t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,6500,6000,Diphasium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7000,6500,Cyperaceae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7000,6500,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7000,6500,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7000,6500,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7000,6500,Salix herbacaea t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7000,6500,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7000,6500,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7000,6500,Diphasium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7000,6500,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7000,6500,Gymnocarpium dryopt.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7500,7000,Alnus
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7500,7000,Betula
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7500,7000,Cyperaceae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7500,7000,Empetrum hermap
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7500,7000,Gramineae
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7500,7000,Gymnocarpium dryopt.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7500,7000,Lycopodium dubium
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7500,7000,Salix glauca t.
individualtimelinenode_48d66bcb-89ff-4d3f-8713-057de0eb592b,7500,7000,Dryopteris t.
