location_id	bin_early	bin_late	morphotype	taxon	rank	taxonomic_tree	taxon_ambiguous_with	variable	variable_unit	variable_value (float)	variable_ci (float option)	variable_confidence_qualitative (string option)
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Alnus sp.	Alnus	Genus	Life > Plantae > Angiosperms > Fagales > Betulaceae > Alnus	Alnus	pollen	percentage	1.91489		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Artemisia sp.	Artemisia	Genus	Life > Plantae > Angiosperms > Asterales > Asteraceae > Asteroideae > Anthemideae > Artemisia	Artemisia	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Betula sp.	Betula	Genus	Life > Plantae > Angiosperms > Fagales > Betulaceae > Betula	Betula	pollen	percentage	45.625		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Botrychium sp.	Botrychium	Genus	Life > Plantae > Polypodiophyta > Polypodiopsida > Ophioglossales > Ophioglossaceae > Botrychioideae > Botrychium	Botrychium	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Campanula sp.	Campanula	Genus	Life > Plantae > Angiosperms > Asterales > Campanulaceae > Campanula	Campanula	pollen	percentage	1.36364		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Cerastium-Stellaria type	Stellaria longipes Goldie	Species	Stellaria longipes Goldie	Stellaria longipes Goldie;Cerastium fontanum Baumg.;Cerastium alpinum L.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Cerastium-Stellaria type	Cerastium fontanum Baumg.	Species	Cerastium fontanum Baumg.	Stellaria longipes Goldie;Cerastium fontanum Baumg.;Cerastium alpinum L.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Cerastium-Stellaria type	Cerastium alpinum L.	Species	Cerastium alpinum L.	Stellaria longipes Goldie;Cerastium fontanum Baumg.;Cerastium alpinum L.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Dryas type	Dryas	Genus	Life > Plantae > Angiosperms > Rosales > Rosaceae > Dryas	Dryas	pollen	percentage	1.11111		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Dryopteris type	Polypodiaceae	Family	Life > Plantae > Polypodiophyta > Polypodiopsida > Polypodiales > Polypodiaceae	Polypodiaceae	pollen	percentage	1.25		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Euphrasia type	Rhinanthus	Genus	Life > Plantae > Angiosperms > Lamiales > Orobanchaceae > Rhinanthus	Rhinanthus;Euphrasia;Bartsia	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Euphrasia type	Euphrasia	Genus	Euphrasia	Rhinanthus;Euphrasia;Bartsia	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Euphrasia type	Bartsia	Genus	Bartsia	Rhinanthus;Euphrasia;Bartsia	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Galium sp.	Galium	Genus	Life > Plantae > Angiosperms > Gentianales > Rubiaceae > Galium	Galium	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Gymnocarpium dryopteris	Gymnocarpium dryopteris (L.) Newman	Species	Gymnocarpium dryopteris (L.) Newman	Gymnocarpium dryopteris (L.) Newman	pollen	percentage	1.66667		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Juniperus communis	Juniperus communis L.	Species	Life > Plantae > Pinophyta > Pinopsida > Cupressales > Cupressaceae > Juniperus > Juniperus communis L.	Juniperus communis L.	pollen	percentage	20		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Luzula-Juncus	Juncus	Genus	Life > Plantae > Angiosperms > Poales > Juncaceae > Juncus	Juncus;Luzula	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Luzula-Juncus	Luzula	Genus	Life > Plantae > Angiosperms > Poales > Juncaceae > Luzula	Juncus;Luzula	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Lycopodium dubium	Lycopodium clavatum L.	Species	Life > Plantae > Lycopodiophyta > Lycopodiopsida > Lycopodiales > Lycopodiaceae > Lycopodioideae > Lycopodium > Lycopodium clavatum L.	Lycopodium clavatum L.	pollen	percentage	3.125		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Potentilla-Comarum type	Sibbaldia procumbens L.	Species	Sibbaldia procumbens L.	Sibbaldia procumbens L.;Comarum palustre L.;Potentilla hyparctica Malte;Potentilla nivea L.;Potentilla hookeriana Lehm.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Potentilla-Comarum type	Comarum palustre L.	Species	Life > Plantae > Angiosperms > Rosales > Rosaceae > Comarum > Comarum palustre L.	Sibbaldia procumbens L.;Comarum palustre L.;Potentilla hyparctica Malte;Potentilla nivea L.;Potentilla hookeriana Lehm.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Potentilla-Comarum type	Potentilla hyparctica Malte	Species	Potentilla hyparctica Malte	Sibbaldia procumbens L.;Comarum palustre L.;Potentilla hyparctica Malte;Potentilla nivea L.;Potentilla hookeriana Lehm.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Potentilla-Comarum type	Potentilla nivea L.	Species	Potentilla nivea L.	Sibbaldia procumbens L.;Comarum palustre L.;Potentilla hyparctica Malte;Potentilla nivea L.;Potentilla hookeriana Lehm.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6551	6551	Potentilla-Comarum type	Potentilla hookeriana Lehm.	Species	Potentilla hookeriana Lehm.	Sibbaldia procumbens L.;Comarum palustre L.;Potentilla hyparctica Malte;Potentilla nivea L.;Potentilla hookeriana Lehm.	pollen	percentage	0		
