Taxon	Family	Genus	Species	Subunit (string option)	Subunit Value	ID	TaxonOriginal	Ic	FN	KP	SF	UN	YG	Tm	AO	Kh	YK	CW	WI	CS	CE	AW	AN	CC	HL	EP	GW	GE	A	B	C	D	E	N
S. filiformis subsp. borealis	POTAMOGETONACEAE	Stuckenia	filiformis	subsp.	borealis	240204b	S. filiformis subsp. borealis	-	-	-	-	-	-	-	-	-	-	r	-	-	r	r	r	s	s	-	s	s	-	-	-	-	S	F
S. filiformis subsp. occidentalis	POTAMOGETONACEAE	Stuckenia	filiformis	subsp.	occidentalis	240204c	S. filiformis subsp. occidentalis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	r	-	-	-	-	-	-	-	R	F
S. subretusa	POTAMOGETONACEAE	Stuckenia	subretusa			240205	S. subretusa	-	-	r	-	-	-	r	-	-	r	r	-	r	-	s	s	r	-	-	-	-	-	-	-	-	S	F
Z. palustris	POTAMOGETONACEAE	Zannichellia	palustris			240301	Z. palustris	b	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	r	-	-	-	-	-	-	-	R	F
A. elegans	MELANTHIACEAE	Anticlea	elegans			250101	A. elegans	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	f	r	-	-	-	-	-	-	-	R	F	F
A. sibirica	MELANTHIACEAE	Anticlea	sibirica			250102	A. sibirica	-	-	-	-	-	-	r	r	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
V. album subsp. misae	MELANTHIACEAE	Veratrum	album	subsp.	misae	250201a	V. album subsp. misae	-	f	f	-	s	s	r	r	r	r	r	-	s	r	-	-	-	-	-	-	-	-	-	-	R	F	F
V. oxysepalum	MELANTHIACEAE	Veratrum	oxysepalum			250202	V. oxysepalum	-	-	-	-	-	-	-	-	f	r	s	-	-	r	r	b	-	-	-	-	-	-	-	-	-	S	S
V. viride subsp. eschscholtzii	MELANTHIACEAE	Veratrum	viride	subsp.	eschscholtzii	250203a	V. viride subsp. eschscholtzii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	F
P. quadrifolia	MELANTHIACEAE	Paris	quadrifolia			250301	P. quadrifolia	b	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	F
G. fragifera	LILIACEAE	Gagea	fragifera			260101	G. fragifera	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
L. serotina	LILIACEAE	Lloydia	serotina			260201	L. serotina	-	-	-	-	s	f	f	f	f	f	f	f	f	f	f	f	-	-	-	-	-	-	-	S	F	F	F
F. camschatcensis	LILIACEAE	Fritillaria	camschatcensis			260301	F. camschatcensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	F
S. amplexifolius subsp. americanus	LILIACEAE	Streptopus	amplexifolius	subsp.	americanus	260401a	S. amplexifolius subsp. americanus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	r	-	r	-	-	-	-	-	R	F
S. lanceolatus	LILIACEAE	Streptopus	lanceolatus			260402	S. lanceolatus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
C. guttatum	ORCHIDACEAE	Cypripedium	guttatum			270101	C. guttatum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	r	-	-	-	-	-	-	-	-	R	F
C. parviflorum var. makasin	ORCHIDACEAE	Cypripedium	parviflorum	var.	makasin	270102a	C. parviflorum var. makasin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	b	-	-	-	-	-	-	-	R	F
C. passerinum	ORCHIDACEAE	Cypripedium	passerinum			270103	C. passerinum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	r	-	-	-	-	-	-	-	R	F
C. bulbosa var. americana	ORCHIDACEAE	Calypso	bulbosa	var.	americana	270201a	C. bulbosa var. americana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
C. trifida	ORCHIDACEAE	Corallorhiza	trifida			270301	C. trifida	f	s	s	-	r	s	s	r	s	r	s	-	s	-	r	s	s	s	-	f	r	-	-	-	-	S	F
L. borealis	ORCHIDACEAE	Listera	borealis			270401	L. borealis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	r	-	-	-	-	-	-	-	R	F
L. cordata var. cordata	ORCHIDACEAE	Listera	cordata	var.	cordata	270402a	L. cordata var. cordata	f	s	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	s	r	-	-	-	-	S	F
L. cordata var. nephrophylla	ORCHIDACEAE	Listera	cordata	var.	nephrophylla	270402b	L. cordata var. nephrophylla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	F
L. ovata	ORCHIDACEAE	Listera	ovata			270403	L. ovata	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
E. atrorubens	ORCHIDACEAE	Epipactis	atrorubens			270501	E. atrorubens	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
S. romanzoffiana	ORCHIDACEAE	Spiranthes	romanzoffiana			270601	S. romanzoffiana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	r	-	r	-	-	-	-	-	-	-	R	F
G. repens	ORCHIDACEAE	Goodyera	repens			270701	G. repens	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	F
C. alpina	ORCHIDACEAE	Chamorchis	alpina			270801	C. alpina	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
P. albida	ORCHIDACEAE	Pseudorchis	albida			270901	P. albida	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
P. straminea	ORCHIDACEAE	Pseudorchis	straminea			270902	P. straminea	f	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	s	s	-	-	-	S	F	F
L. dilatata	ORCHIDACEAE	Limnorchis	dilatata			271001	L. dilatata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	-	r	-	-	-	-	-	-	-	R	F
L. huronensis	ORCHIDACEAE	Limnorchis	huronensis			271002	L. huronensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
L. aquilonis	ORCHIDACEAE	Limnorchis	aquilonis			271003	L. aquilonis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	s	-	-	-	-	-	-	-	R	F
L. hyperborea	ORCHIDACEAE	Limnorchis	hyperborea			271004	L. hyperborea	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	-	-	-	S	F	F
L. obtusata	ORCHIDACEAE	Lysiella	obtusata			271101	L. obtusata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	s	s	-	-	-	-	-	-	-	S	F
L. oligantha	ORCHIDACEAE	Lysiella	oligantha			271102	L. oligantha	-	-	-	-	-	-	-	-	r	-	-	-	b	-	-	-	-	-	-	-	-	-	-	-	-	R	R
G. rotundifolia	ORCHIDACEAE	Galearis	rotundifolia			271201	G. rotundifolia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	r	-	r	-	-	-	-	R	R	F
G. conopsea	ORCHIDACEAE	Gymnadenia	conopsea			271301	G. conopsea	-	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
C. viride	ORCHIDACEAE	Coeloglossum	viride			271401	C. viride	f	s	s	-	s	r	r	r	f	-	r	-	s	r	s	b	-	r	-	-	-	-	-	-	R	F	F
C. viride subsp. viride	ORCHIDACEAE	Coeloglossum	viride	subsp.	viride	271401a	C. viride subsp. viride	-	s	s	-	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F	F
C. viride subsp. islandicum	ORCHIDACEAE	Coeloglossum	viride	subsp.	islandicum	271401b	C. viride subsp. islandicum	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	S
C. viride subsp. bracteatum	ORCHIDACEAE	Coeloglossum	viride	subsp.	bracteatum	271401c	C. viride subsp. bracteatum	-	-	-	-	?	?	?	?	?	-	?	-	?	?	s	b	-	r	-	-	-	-	-	-	-	R	F
D. fuchsii	ORCHIDACEAE	Dactylorhiza	fuchsii			271501	D. fuchsii	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
D. maculata	ORCHIDACEAE	Dactylorhiza	maculata			271502	D. maculata	f	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
D. incarnata	ORCHIDACEAE	Dactylorhiza	incarnata			271503	D. incarnata	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
D. majalis subsp. lapponica	ORCHIDACEAE	Dactylorhiza	majalis	subsp.	lapponica	271504a	D. majalis subsp. lapponica	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
D. aristata	ORCHIDACEAE	Dactylorhiza	aristata			271505	D. aristata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	F
I. setosa var. setosa	IRIDACEAE	Iris	setosa	var.	setosa	280101a	I. setosa var. setosa	-	-	-	-	-	-	-	-	-	r	r	-	f	r	f	-	-	-	-	-	-	-	-	-	R	F	F
I. setosa var. interior	IRIDACEAE	Iris	setosa	var.	interior	280101b	I. setosa var. interior	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	R	F
S. mucronatum	IRIDACEAE	Sisyrinchium	mucronatum			280201	S. mucronatum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
S. groenlandicum	IRIDACEAE	Sisyrinchium	groenlandicum			280202	S. groenlandicum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	R	-
S. montanum	IRIDACEAE	Sisyrinchium	montanum			280203	S. montanum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	*	-	-	-	*	-	R	S
A. strictum	ALLIACEAE	Allium	strictum			290101	A. strictum	-	-	-	-	-	-	b	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	F
A. schoenoprasum northern race	ALLIACEAE	Allium	schoenoprasum	northern	race	290102a	A. schoenoprasum northern race	-	f	f	-	s	r	s	r	s	r	s	-	s	r	s	r	r	r	-	-	-	-	-	-	S	F	F
M. bifolium	RUSCACEAE	Maianthemum	bifolium			300101	M. bifolium	-	?	b	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
M. canadense	RUSCACEAE	Maianthemum	canadense			300102	M. canadense	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
M. trifolium	RUSCACEAE	Maianthemum	trifolium			300103	M. trifolium	-	-	-	-	-	-	-	r	b	-	r	-	s	-	-	-	-	s	-	-	-	-	-	-	-	S	F
M. stellatum	RUSCACEAE	Maianthemum	stellatum			300104	M. stellatum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
S. emersum	SPARGANIACEAE	Sparganium	emersum			310101	S. emersum	-	b	r	-	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
S. multipedunculatum	SPARGANIACEAE	Sparganium	multipedunculatum			310102	S. multipedunculatum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	r	-	-	-	-	-	-	-	-	R	F
S. angustifolium	SPARGANIACEAE	Sparganium	angustifolium			310103	S. angustifolium	r	r	r	-	r	-	r	-	r	-	-	-	-	-	r	-	r	r	-	s	r	-	-	-	-	R	F
S. gramineum	SPARGANIACEAE	Sparganium	gramineum			310104	S. gramineum	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	R	S
S. natans	SPARGANIACEAE	Sparganium	natans			310105	S. natans	-	-	r	-	r	-	-	-	-	-	-	-	-	-	r	-	r	r	-	-	-	-	-	-	-	R	F
S. hyperboreum	SPARGANIACEAE	Sparganium	hyperboreum			310106	S. hyperboreum	f	f	s	-	s	s	s	r	r	s	s	-	f	s	s	s	s	s	-	f	r	-	-	-	R	S	F
J. biglumis	JUNCACEAE	Juncus	biglumis			320101	J. biglumis	f	f	f	f	f	f	f	f	f	f	f	f	s	f	s	f	f	f	f	f	f	F	F	F	F	F	S
J. longirostris	JUNCACEAE	Juncus	longirostris			320102	J. longirostris	-	-	-	-	-	-	r	r	r	-	-	-	s	-	-	-	-	-	-	-	-	-	-	-	-	R	?
J. triglumis	JUNCACEAE	Juncus	triglumis			320103	J. triglumis	f	f	r	-	s	r	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F	F	F
J. albescens	JUNCACEAE	Juncus	albescens			320104	J. albescens	-	-	-	s	-	-	s	s	f	r	f	r	f	f	f	f	f	f	s	f	f	-	-	S	F	F	F
J. castaneus	JUNCACEAE	Juncus	castaneus			320105	J. castaneus	r	r	s	-	s	f	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F	F
J. leucochlamys	JUNCACEAE	Juncus	leucochlamys			320106	J. leucochlamys	r	-	-	r	-	-	s	s	f	r	f	r	f	f	f	f	f	f	r	f	s	-	-	R	F	F	F
J. stygius subsp. stygius	JUNCACEAE	Juncus	stygius	subsp.	stygius	320107a	J. stygius subsp. stygius	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	F
J. stygius subsp. americanus	JUNCACEAE	Juncus	stygius	subsp.	americanus	320107b	J. stygius subsp. americanus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
J. subtilis	JUNCACEAE	Juncus	subtilis			320108	J. subtilis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	s	r	-	-	-	-	R	S
J. brevicaudatus	JUNCACEAE	Juncus	brevicaudatus			320109	J. brevicaudatus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	R
J. articulatus (subsp. articulatus)	JUNCACEAE	Juncus	articulatus	(subsp.	articulatus)	320110	J. articulatus (subsp. articulatus)	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
J. alpinoarticulatus	JUNCACEAE	Juncus	alpinoarticulatus			320111	J. alpinoarticulatus	f	s	r	-	-	r	r	-	-	-	-	-	-	s	r	r	r	s	-	r	-	-	-	-	-	S	F
J. alpinoarticulatus subsp. rariflorus	JUNCACEAE	Juncus	alpinoarticulatus	subsp.	rariflorus	320111a	J. alpinoarticulatus subsp. rariflorus	?	-	r	-	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
J. alpinoarticulatus subsp. americanus	JUNCACEAE	Juncus	alpinoarticulatus	subsp.	americanus	320111b	J. alpinoarticulatus subsp. americanus	-	-	-	-	-	-	-	-	-	-	-	-	-	s	r	r	r	s	-	r	-	-	-	-	-	S	F
J. alpinoarticulatus subsp. alpestris	JUNCACEAE	Juncus	alpinoarticulatus	subsp.	alpestris	320111c	J. alpinoarticulatus subsp. alpestris	f	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
J. alpinoarticulatus subsp. fischerianus	JUNCACEAE	Juncus	alpinoarticulatus	subsp.	fischerianus	320111d	J. alpinoarticulatus subsp. fischerianus	-	-	r	-	-	r	-	-	-	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
J. nodosus	JUNCACEAE	Juncus	nodosus			320112	J. nodosus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	-	-	*	S
J. bulbosus (subsp. bulbosus)	JUNCACEAE	Juncus	bulbosus	(subsp.	bulbosus)	320113	J. bulbosus (subsp. bulbosus)	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
J. mertensianus	JUNCACEAE	Juncus	mertensianus			320114	J. mertensianus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	F
J. ranarius	JUNCACEAE	Juncus	ranarius			320115	J. ranarius	r	s	-	-	-	b	-	-	-	-	-	-	-	r	r	-	b	r	-	r	r	-	-	-	-	S	F
J. ranarius var. ossoraicus	JUNCACEAE	Juncus	ranarius	var.	ossoraicus	320115a	J. ranarius var. ossoraicus	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	R	R
J. minutulus	JUNCACEAE	Juncus	minutulus			320116	J. minutulus	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	S
J. bufonius	JUNCACEAE	Juncus	bufonius			320117	J. bufonius	*	*	*	-	-	*	*	-	-	-	-	-	**	-	*	-	**	**	-	*	-	-	-	-	-	*	F
J. gerardii subsp. gerardii	JUNCACEAE	Juncus	gerardii	subsp.	gerardii	320118a	J. gerardii subsp. gerardii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	-	r	-	-	-	-	-	R	F
J. gerardii subsp. atrofuscus	JUNCACEAE	Juncus	gerardii	subsp.	atrofuscus	320118b	J. gerardii subsp. atrofuscus	-	s	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
J. vaseyi	JUNCACEAE	Juncus	vaseyi			320119	J. vaseyi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
J. squarrosus	JUNCACEAE	Juncus	squarrosus			320120	J. squarrosus	r	-	-	**	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	**	-	R	S
J. trifidus	JUNCACEAE	Juncus	trifidus			320121	J. trifidus	f	f	f	-	f	s	r	-	-	-	-	-	-	-	-	-	-	s	-	f	f	-	-	R	F	F	F
J. tenuis	JUNCACEAE	Juncus	tenuis			320122	J. tenuis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	S
J. filiformis	JUNCACEAE	Juncus	filiformis			320123	J. filiformis	f	f	s	-	f	r	-	-	-	-	r	-	-	r	r	b	-	r	-	s	r	-	-	-	-	S	F
J. brachyspathus	JUNCACEAE	Juncus	brachyspathus			320124	J. brachyspathus	-	-	-	-	-	r	b	-	-	?	r	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	F
J. arcticus subsp. arcticus	JUNCACEAE	Juncus	arcticus	subsp.	arcticus	320125a	J. arcticus subsp. arcticus	s	s	s	r	s	s	s	s	f	r	-	-	-	-	-	-	r	f	-	f	f	-	-	S	F	F	F
J. arcticus subsp. intermedius	JUNCACEAE	Juncus	arcticus	subsp.	intermedius	320125b	J. arcticus subsp. intermedius	f	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	F	F
J. arcticus subsp. alaskanus	JUNCACEAE	Juncus	arcticus	subsp.	alaskanus	320125c	J. arcticus subsp. alaskanus	-	-	-	-	-	-	-	-	-	-	r	-	s	f	f	f	s	-	-	-	-	-	-	-	S	S	F
J. haenkei	JUNCACEAE	Juncus	haenkei			320126	J. haenkei	-	-	-	-	-	-	-	-	-	-	-	-	s	f	r	-	-	-	-	-	-	-	-	-	-	S	F
J. balticus subsp. balticus	JUNCACEAE	Juncus	balticus	subsp.	balticus	320127a	J. balticus subsp. balticus	?	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	R	F
J. balticus subsp. littoralis	JUNCACEAE	Juncus	balticus	subsp.	littoralis	320127b	J. balticus subsp. littoralis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	F
J. balticus subsp. ater	JUNCACEAE	Juncus	balticus	subsp.	ater	320127c	J. balticus subsp. ater	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	?	-	-	-	-	-	-	-	-	-	?	F
J. drummondii	JUNCACEAE	Juncus	drummondii			320128	J. drummondii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	F
L. pilosa	JUNCACEAE	Luzula	pilosa			320201	L. pilosa	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
L. rufescens	JUNCACEAE	Luzula	rufescens			320202	L. rufescens	-	-	-	-	-	r	-	r	r	r	f	-	r	s	r	s	-	-	-	-	-	-	-	-	-	S	F
L. luzuloides	JUNCACEAE	Luzula	luzuloides			320203	L. luzuloides	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	*
L. parviflora subsp. parviflora	JUNCACEAE	Luzula	parviflora	subsp.	parviflora	320204a	L. parviflora subsp. parviflora	-	s	s	-	s	r	r	r	r	r	s	-	r	-	s	s	s	s	-	f	r	-	-	-	S	F	F
L. parviflora subsp. fastigiata	JUNCACEAE	Luzula	parviflora	subsp.	fastigiata	320204b	L. parviflora subsp. fastigiata	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	-	-	-	-	-	-	-	-	-	-	R	F
L. parviflora subsp. melanocarpa	JUNCACEAE	Luzula	parviflora	subsp.	melanocarpa	320204c	L. parviflora subsp. melanocarpa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
L. wahlenbergii	JUNCACEAE	Luzula	wahlenbergii			320205	L. wahlenbergii	-	f	f	r	f	f	f	f	f	s	f	-	f	f	f	s	s	s	-	-	r	-	-	S	F	F	S
L. piperi	JUNCACEAE	Luzula	piperi			320206	L. piperi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	F
L. spicata (subsp. spicata)	JUNCACEAE	Luzula	spicata	(subsp.	spicata)	320207	L. spicata (subsp. spicata)	f	s	s	-	s	r	-	-	-	-	-	-	-	-	-	-	r	s	-	f	f	-	-	R	F	F	F
L. confusa	JUNCACEAE	Luzula	confusa			320208	L. confusa	-	s	s	f	f	f	f	s	f	f	f	s	s	f	f	f	f	f	f	f	f	F	F	F	F	F	S
L. arcuata subsp. arcuata	JUNCACEAE	Luzula	arcuata	subsp.	arcuata	320209a	L. arcuata subsp. arcuata	f	s	s	s	r	-	-	-	-	-	-	-	-	s	s	-	-	-	-	?	r	-	-	R	F	F	S
L. arcuata subsp. unalaschkensis	JUNCACEAE	Luzula	arcuata	subsp.	unalaschkensis	320209b	L. arcuata subsp. unalaschkensis	-	-	-	-	-	-	-	-	-	-	f	-	f	f	f	s	-	-	-	-	-	-	-	?	F	F	F
L. nivalis	JUNCACEAE	Luzula	nivalis			320210	L. nivalis	-	-	r	f	f	s	f	s	f	f	f	f	f	f	r	f	f	f	f	s	s	F	F	F	F	S	R
L. kjellmaniana	JUNCACEAE	Luzula	kjellmaniana			320211	L. kjellmaniana	-	-	-	-	s	s	s	s	f	r	f	f	s	f	f	f	r	-	-	-	-	-	-	-	S	F	F
L. multiflora subsp. multiflora	JUNCACEAE	Luzula	multiflora	subsp.	multiflora	320212a	L. multiflora subsp. multiflora	*	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	*	S
L. multiflora subsp. frigida	JUNCACEAE	Luzula	multiflora	subsp.	frigida	320212b	L. multiflora subsp. frigida	f	f	f	-	s	s	-	-	-	-	-	-	-	-	f	s	s	s	-	f	s	-	-	-	S	F	F
L. multiflora subsp. sibirica	JUNCACEAE	Luzula	multiflora	subsp.	sibirica	320212c	L. multiflora subsp. sibirica	-	-	-	-	-	-	r	s	f	s	s	-	f	s	-	-	-	-	-	-	-	-	-	-	R	F	F
L. multiflora var. kjellmanioides	JUNCACEAE	Luzula	multiflora	var.	kjellmanioides	320212d	L. multiflora var. kjellmanioides	-	-	-	-	-	-	-	-	-	-	?	-	r	r	r	-	-	-	-	-	-	-	-	-	-	R	F
L. capitata	JUNCACEAE	Luzula	capitata			320213	L. capitata	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	-	R	R
L. groenlandica	JUNCACEAE	Luzula	groenlandica			320214	L. groenlandica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	r	s	-	s	-	-	-	-	S	S	S
L. oligantha	JUNCACEAE	Luzula	oligantha			320215	L. oligantha	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
L. pallescens	JUNCACEAE	Luzula	pallescens			320216	L. pallescens	-	*	r	-	-	-	-	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
L. sudetica	JUNCACEAE	Luzula	sudetica			320217	L. sudetica	f	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
S. validus	CYPERACEAE	Schoenoplectus	validus			330101	S. validus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	S
S. pungens	CYPERACEAE	Schoenoplectus	pungens			330102	S. pungens	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	S
B. planiculmis	CYPERACEAE	Bolboschoenus	planiculmis			330201	B. planiculmis	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	F
B. rufa	CYPERACEAE	Blysmopsis	rufa			330301	B. rufa	-	b	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	R	S
M. japonica	CYPERACEAE	Maximowicziella	japonica			330401	M. japonica	-	-	-	-	-	-	-	-	-	-	?	-	?	s	-	-	-	-	-	-	-	-	-	-	-	R	F
E. virginicum	CYPERACEAE	Eriophorum	virginicum			330501	E. virginicum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	b	S
E. viridicarinatum	CYPERACEAE	Eriophorum	viridicarinatum			330502	E. viridicarinatum	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	r	-	-	-	-	-	-	-	R	S
E. gracile subsp. gracile	CYPERACEAE	Eriophorum	gracile	subsp.	gracile	330503a	E. gracile subsp. gracile	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	b	r	r	-	-	-	-	-	-	-	R	F
E. gracile subsp. asiaticum	CYPERACEAE	Eriophorum	gracile	subsp.	asiaticum	330503b	E. gracile subsp. asiaticum	-	-	-	-	-	r	-	-	-	r	r	-	?	-	-	-	-	-	-	-	-	-	-	-	-	R	F
E. latifolium	CYPERACEAE	Eriophorum	latifolium			330504	E. latifolium	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
E. angustifolium	CYPERACEAE	Eriophorum	angustifolium			330505	E. angustifolium	f	f	f	-	f	f	f	f	f	f	f	f	f	f	f	f	f	f	r	f	r	-	-	-	R	F	F
